like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
-36.75,0.435,0.6084,0.4424,0.02043,29.19,6.215,0.77,0.0853,0.00912,0.0009604,0.0001007,0.0,0.0,0.0,2e-07,0.0004265,0.03952,0.525,0.0
-45.8,0.3718,0.3232,0.258,0.004528,30.19,22.44,5.305,0.964,0.1589,0.02509,0.00387,0.0,0.0,0.0,0.0,0.0,0.0,6.4e-06,1.0
-50.78,0.4688,0.2108,0.2014,0.02464,7.066,28.66,18.58,7.797,2.773,0.912,0.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-40.28,0.3345,0.513,0.3264,0.00951,33.53,7.504,0.8604,0.08545,0.00808,0.000748,6.87e-05,0.0,0.0,0.0,0.0,3.53e-05,0.01015,0.2908,3.0
-41.53,0.4026,0.4246,0.3887,0.01482,35.84,6.58,0.5225,0.03442,0.002123,0.0001273,7.5e-06,0.0,0.0,0.0,0.0,1.7e-06,0.001729,0.10565,4.0
-37.88,0.4968,0.52,0.495,0.02576,30.77,5.844,0.575,0.0492,0.004005,0.0003202,2.533e-05,0.0,0.0,0.0,0.0,4.56e-05,0.01015,0.2322,0.0
-48.34,0.3403,0.3232,0.2058,0.0009313,24.14,28.56,10.74,3.105,0.815,0.2047,0.05026,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,1.0
-50.78,0.4688,0.2108,0.2014,0.02464,7.066,28.66,18.58,7.797,2.773,0.912,0.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-45.16,0.3018,0.329,0.2727,0.003904,41.62,8.695,0.591,0.03102,0.001483,6.79e-05,3.04e-06,0.0,0.0,0.0,0.0,0.0,2.72e-05,0.00943,3.0
-26.22,0.3083,0.4246,0.4436,0.00471,21.47,0.146,0.0004296,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.034e-05,0.1483,5.47,12.39,4.0
-41.5,0.4666,0.4487,0.385,0.01624,31.89,12.57,2.262,0.342,0.0487,0.006756,0.0009255,0.0,0.0,0.0,0.0,6e-08,6.82e-05,0.006634,0.0
-27.45,0.3718,0.6904,0.4922,0.000448,25.08,1.836,0.08484,0.003578,0.0001467,5.96e-06,2.4e-07,0.0,0.0,0.0,0.000665,0.2128,3.4,9.82,1.0
-50.84,0.4688,0.2108,0.1993,0.02464,6.85,28.42,18.86,8.1,2.95,0.992,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-45.12,0.319,0.2893,0.2856,0.0131,41.9,7.543,0.3716,0.013535,0.000441,1.365e-05,4e-07,0.0,0.0,0.0,0.0,0.0,2.56e-06,0.00206,3.0
-39.94,0.3083,0.5093,0.2717,0.0188,31.08,10.164,1.693,0.244,0.03348,0.004498,0.0005984,0.0,0.0,0.0,0.0,2.1e-06,0.0009284,0.04013,4.0
-42.88,0.435,0.344,0.4424,0.02043,38.8,3.549,0.11163,0.002752,6.205e-05,1.4e-06,0.0,0.0,0.0,0.0,0.0,3e-07,0.0009646,0.1074,0.0
-40.5,0.3628,0.53,0.3022,0.01631,29.9,12.35,2.684,0.508,0.0918,0.01628,0.002863,0.0,0.0,0.0,0.0,1.1e-06,0.0004585,0.02098,1.0
-45.62,0.318,0.2108,0.2008,0.02464,21.7,24.77,4.52,0.534,0.05347,0.00495,0.0004394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-38.97,0.3406,0.6104,0.3264,0.00951,30.69,8.79,1.47,0.2198,0.0317,0.00451,0.000638,0.0,0.0,0.0,6e-08,0.0001696,0.02075,0.3665,3.0
-26.22,0.3083,0.4246,0.4436,0.00471,21.47,0.146,0.0004296,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.034e-05,0.1483,5.47,12.39,4.0
-38.56,0.4612,0.676,0.418,0.01281,28.33,10.37,2.365,0.4905,0.0988,0.0197,0.00391,0.0,0.0,0.0,6e-08,0.0001564,0.01395,0.2168,0.0
-47.03,0.3718,0.2927,0.2505,0.000448,29.53,25.38,6.062,1.076,0.1711,0.02586,0.003807,0.0,0.0,0.0,0.0,0.0,0.0,7e-07,1.0
-48.0,0.3132,0.1309,0.265,0.0263,48.78,3.844,0.014496,2.617e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-40.38,0.394,0.566,0.3672,0.00592,32.22,9.805,1.65,0.245,0.03488,0.00489,0.0006804,0.0,0.0,0.0,0.0,4.345e-05,0.00893,0.2269,3.0
-30.31,0.3179,0.4246,0.4436,0.001808,24.19,0.2379,0.001013,3.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.09e-05,0.07697,4.105,13.445,4.0
-45.3,0.435,0.1256,0.287,0.02043,20.38,24.62,1.247,0.02924,0.0005083,7.6e-06,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-19.58,0.3545,0.5063,0.4934,0.01528,22.5,0.4253,0.004074,3.374e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,7.033e-05,0.1121,2.982,7.668,1.0
-52.2,0.3462,0.1809,0.1587,0.01843,7.125,34.06,18.8,6.184,1.669,0.4097,0.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-50.28,0.3591,0.2499,0.1749,0.0152,12.54,30.61,16.28,6.05,1.967,0.6,0.1771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-34.16,0.3591,0.3386,0.4866,0.0003805,27.19,0.1383,0.0002372,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.00886,2.033,14.06,4.0
