like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-63.06,0.3652,0.4934,0.208,0.01013,21.34,22.4,11.664,5.21,2.21,0.918,0.3774,0.0,0.0,0.0,0.0,0.0,1e-07,1.967e-05,4.45e-05,0.0007095,0.00944,0.0625,0.2493,0.0
-66.75,0.3975,0.2062,0.3887,0.01996,50.12,2.025,0.01252,4.953e-05,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-07,0.001869,0.006287,0.2422,2.854,6.285,4.086,1.0
-62.28,0.464,0.3113,0.4426,0.015015,41.6,5.28,0.2032,0.00593,0.0001565,3.93e-06,1e-07,0.0,0.0,0.0,0.0,0.0,5.59e-05,0.01772,0.0408,0.5195,3.121,6.188,5.477,2.0
-63.75,0.43,0.4067,0.2664,0.005116,24.7,24.36,9.96,3.344,1.046,0.3174,0.09485,0.0,0.0,0.0,0.0,0.0,0.0,9.5e-06,2.486e-05,0.000643,0.01298,0.11237,0.5254,3.0
-52.2,0.335,0.5938,0.3308,0.02518,28.86,6.617,0.8687,0.10144,0.011406,0.001264,0.0001392,0.0,0.0,0.0,6e-08,0.0001605,0.01851,0.2915,0.4287,1.325,2.633,2.932,2.145,4.0
-37.06,0.3108,0.1559,0.414,0.02489,23.23,0.000521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-07,0.05753,6.027,8.09,5.39,0.2013,0.0008154,6.6e-07,0.0
-66.4,0.3687,0.2062,0.3887,0.01962,49.47,0.7754,0.001861,2.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52e-05,0.02797,0.0778,1.407,6.434,5.496,1.387,1.0
-62.94,0.3953,0.2515,0.4426,0.015015,43.5,0.6753,0.002308,5.54e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.001719,0.403,0.81,4.95,8.51,3.701,0.5923,2.0
-60.62,0.3965,0.606,0.2664,0.005116,25.28,19.3,8.54,3.379,1.288,0.4844,0.1812,0.0,0.0,0.0,0.0,2e-07,5.36e-05,0.002596,0.004795,0.03717,0.2368,0.8555,2.047,3.0
-52.2,0.335,0.5938,0.3308,0.02518,28.86,6.617,0.8687,0.10144,0.011406,0.001264,0.0001392,0.0,0.0,0.0,6e-08,0.0001605,0.01851,0.2915,0.4287,1.325,2.633,2.932,2.145,4.0
-30.73,0.3433,0.4207,0.4702,0.02489,22.88,0.2389,0.00107,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.04e-06,0.02562,1.566,5.727,5.87,3.61,0.7056,0.06073,0.002884,0.0
-63.16,0.3032,0.2062,0.2559,0.01962,43.44,7.72,0.21,0.003654,5.37e-05,7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25e-06,2.36e-05,0.002975,0.1543,1.494,4.277,1.0
-66.94,0.3953,0.2039,0.4426,0.00875,49.03,0.3276,0.0003276,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000286,0.2563,0.6143,6.023,12.52,4.766,0.528,2.0
