like1,like2,like3,like4,like5,like6,like7,like8,like9,like10,like11,like12,like13,like14,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
14.13,13.984,2.373,0.3125,0.03793,0.00444,0.0005107,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3906,0.3718,0.3086,0.01359,33.34,14.516,2.38,0.3127,0.03793,0.00444,0.0005107,0.0,0.0,0.0,0.0,0.0,2.1e-06,0.0006566,1.0
18.23,8.734,0.8433,0.0623,0.00422,0.0002751,1.76e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.36,0.341,0.367,0.303,0.01286,37.44,9.266,0.851,0.0624,0.00422,0.0002751,1.76e-05,0.0,0.0,0.0,0.0,0.0,4.846e-05,0.00953,1.0
20.08,5.434,0.3232,0.014496,0.0005927,2.325e-05,9e-07,0.0,0.0,6e-08,0.00391,0.728,4.824,6.312,0.3086,0.362,0.2974,0.012146,39.28,5.965,0.331,0.01462,0.000594,2.325e-05,9e-07,0.0,0.0,0.0,0.0,1e-07,0.0004218,0.05542,1.0
16.14,12.805,1.804,0.1948,0.01929,0.001838,0.0001717,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3582,0.3574,0.2917,0.01143,35.34,13.336,1.812,0.195,0.01929,0.001838,0.0001717,0.0,0.0,0.0,0.0,0.0,2.9e-06,0.001038,1.0
10.17,19.7,4.934,0.9517,0.1682,0.02861,0.004772,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4077,0.3525,0.2861,0.010704,29.38,20.25,4.94,0.9517,0.1682,0.02861,0.004772,0.0,0.0,0.0,0.0,0.0,6e-08,2.21e-05,1.0
4.58,24.44,9.13,2.629,0.693,0.1755,0.04358,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4575,0.3477,0.2805,0.00999,23.77,24.97,9.14,2.629,0.693,0.1755,0.04358,0.0,0.0,0.0,0.0,0.0,0.0,6e-07,1.0
0.962,26.58,12.48,4.504,1.485,0.4705,0.146,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.493,0.343,0.275,0.00926,20.16,27.11,12.484,4.504,1.485,0.4705,0.146,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,1.0
4.32,25.33,9.57,2.766,0.729,0.1844,0.0457,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4434,0.3381,0.2693,0.008545,23.52,25.86,9.58,2.766,0.729,0.1844,0.0457,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,1.0
8.72,22.5,6.277,1.33,0.2568,0.04752,0.008606,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3938,0.3333,0.2637,0.00783,27.9,23.03,6.285,1.331,0.2568,0.04752,0.008606,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-06,1.0
14.29,17.5,3.143,0.4255,0.05228,0.006153,0.000708,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.3442,0.3286,0.258,0.007107,33.5,18.03,3.15,0.4255,0.05228,0.006153,0.000708,0.0,0.0,0.0,0.0,0.0,6e-08,6.104e-05,1.0
19.05,12.37,1.379,0.1145,0.008606,0.000618,4.34e-05,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.3054,0.3237,0.2524,0.006386,38.25,12.9,1.387,0.1146,0.008606,0.000618,4.34e-05,0.0,0.0,0.0,0.0,0.0,1.2e-06,0.0007496,1.0
11.0,21.6,5.062,0.8887,0.1412,0.02145,0.003185,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.355,0.3188,0.247,0.005665,30.19,22.12,5.07,0.8887,0.1412,0.02145,0.003185,0.0,0.0,0.0,0.0,0.0,0.0,5.5e-06,1.0
3.77,27.61,10.56,3.021,0.7812,0.1929,0.04654,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4045,0.3142,0.2413,0.004948,22.97,28.14,10.57,3.021,0.7812,0.1929,0.04654,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,1.0
