like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,chain
-22.58,0.435,0.3232,0.258,0.02464,20.69,22.94,8.09,0.0,0.0,0.0,6e-08,0.0
-17.86,0.3718,0.513,0.4424,0.00951,30.77,2.23,0.0829,8e-07,0.00417,0.3884,3.605,1.0
-16.66,0.3345,0.6084,0.3887,0.02043,27.66,3.07,0.1984,4.5e-06,0.006474,0.3125,2.164,2.0
-21.05,0.4026,0.4246,0.3264,0.01482,32.38,13.36,2.387,0.0,0.0,2.44e-05,0.003351,3.0
-26.62,0.4688,0.2108,0.2014,0.004528,7.816,35.03,25.12,0.0,0.0,0.0,0.0,4.0
-27.05,0.4988,0.1095,0.167,0.014366,0.4531,25.02,35.5,0.0,0.0,0.0,0.0,0.0
-20.2,0.4045,0.513,0.3875,0.01003,33.34,8.12,1.014,0.0,2.19e-05,0.006844,0.2133,1.0
-16.66,0.3345,0.6084,0.3887,0.02043,27.66,3.07,0.1984,4.5e-06,0.006474,0.3125,2.164,2.0
-23.73,0.4363,0.312,0.2698,0.00528,24.56,27.06,9.06,0.0,0.0,0.0,1e-07,3.0
-25.95,0.4949,0.2108,0.2537,0.006073,13.02,36.5,16.36,0.0,0.0,0.0,0.0,4.0
-20.78,0.4092,0.3977,0.3557,0.02017,34.28,9.82,1.14,0.0,0.0,5.5e-05,0.00762,0.0
-22.14,0.3718,0.308,0.4104,0.00926,41.56,1.53,0.01683,0.0,1.3e-06,0.006203,0.615,1.0
-12.46,0.3345,0.6084,0.4395,0.02043,23.84,1.223,0.0365,0.0001036,0.06946,1.55,4.957,2.0
-26.39,0.4941,0.1702,0.1675,0.01193,2.328,26.23,29.5,0.0,0.0,0.0,0.0,3.0
-27.77,0.4949,0.11804,0.2566,0.004547,6.15,49.28,13.36,0.0,0.0,0.0,0.0,4.0
-20.03,0.4092,0.4937,0.3557,0.02017,31.1,10.414,1.731,0.0,9e-07,0.000509,0.02611,0.0
-25.66,0.4932,0.1783,0.2861,0.002575,17.16,37.62,9.22,0.0,0.0,0.0,0.0,1.0
-20.38,0.4363,0.6084,0.318,0.02043,25.11,15.03,5.24,0.0,5.4e-07,0.0001408,0.005253,2.0
-20.62,0.3582,0.4475,0.3264,0.01482,34.25,8.93,1.06,0.0,8e-07,0.0006976,0.04553,3.0
-25.95,0.4949,0.2108,0.2537,0.006073,13.02,36.5,16.36,0.0,0.0,0.0,0.0,4.0
-18.69,0.421,0.549,0.4534,0.0157,31.06,4.516,0.3545,1e-07,0.000631,0.07513,1.037,0.0
-17.83,0.3718,0.5728,0.4285,0.00951,30.22,3.344,0.2065,1.8e-06,0.00463,0.3206,2.818,1.0
-19.0,0.3206,0.4834,0.3372,0.02574,31.69,4.098,0.2583,0.0,7.695e-05,0.01955,0.429,2.0
-8.91,0.3455,0.648,0.4736,0.0177,22.0,0.9927,0.02719,0.0005903,0.1987,2.738,6.098,3.0
-25.86,0.4736,0.2108,0.2537,0.003689,15.01,36.9,14.51,0.0,0.0,0.0,0.0,4.0
-19.4,0.421,0.5063,0.4404,0.0157,32.62,4.906,0.3745,0.0,0.0001425,0.03021,0.619,0.0
-24.78,0.4246,0.2773,0.2418,0.002518,20.52,31.62,12.53,0.0,0.0,0.0,0.0,1.0
-9.91,0.312,0.672,0.4773,0.02734,15.92,0.3196,0.003986,0.00809,0.889,4.492,3.91,2.0
-12.734,0.305,0.669,0.4854,0.02728,14.0,0.1935,0.001656,0.01865,1.465,5.21,3.172,3.0
-25.03,0.4324,0.2668,0.2437,0.001523,19.86,32.75,13.086,0.0,0.0,0.0,0.0,4.0
