like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-65.44,0.4026,0.2108,0.3887,0.02464,48.25,2.316,0.01778,8.833e-05,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,0.001213,7e-07,0.0003297,0.04837,0.5454,2.64,0.0
-62.12,0.4688,0.3232,0.4424,0.00951,41.8,6.207,0.2932,0.01064,0.0003505,1.1e-05,3.6e-07,0.0,0.0,0.0,0.0,0.0,7.445e-05,0.02089,0.0001341,0.00836,0.2576,1.44,4.81,1.0
-57.34,0.3718,0.4246,0.3264,0.02043,33.47,9.64,1.202,0.1244,0.012054,0.001135,0.0001054,0.0,0.0,0.0,0.0,1e-07,0.0001429,0.01371,0.0001793,0.005196,0.09314,0.4312,1.428,2.0
-61.66,0.435,0.513,0.258,0.01482,21.86,20.6,9.945,4.156,1.654,0.6455,0.2496,0.0,0.0,0.0,0.0,0.0,4e-07,5.364e-05,2.4e-07,9.54e-06,0.0002887,0.002321,0.01735,3.0
-62.5,0.3345,0.6084,0.2014,0.004528,22.86,20.94,11.164,5.324,2.447,1.109,0.5005,0.0,0.0,0.0,0.0,0.0,1e-05,0.000571,6.8e-06,0.0001415,0.002523,0.01473,0.08105,4.0
-61.3,0.302,0.3064,0.3323,0.014366,40.72,1.474,0.01581,0.0001279,9.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.5e-07,0.0047,0.4802,0.01068,0.2905,2.883,6.15,5.848,0.0
-65.56,0.4998,0.3232,0.3154,5.513e-05,26.22,27.45,9.15,2.344,0.545,0.12115,0.02635,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-07,0.0,6e-08,1.156e-05,0.0003083,0.007263,1.0
-57.34,0.3718,0.4246,0.3264,0.02043,33.47,9.64,1.202,0.1244,0.012054,0.001135,0.0001054,0.0,0.0,0.0,0.0,1e-07,0.0001429,0.01371,0.0001793,0.005196,0.09314,0.4312,1.428,2.0
-67.44,0.4675,0.585,0.1727,0.004993,13.76,20.64,17.53,13.21,9.58,6.84,4.855,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-07,0.0,6e-08,1.67e-06,1.53e-05,0.0001465,3.0
-59.3,0.4285,0.6084,0.3142,0.006073,27.12,17.2,6.355,2.098,0.668,0.2097,0.0655,0.0,0.0,0.0,0.0,9e-07,0.0002403,0.009514,0.0002227,0.003471,0.04285,0.1864,0.7104,4.0
